id,status,score,progress,completedAt,media_id
83730348,COMPLETED,8,12,02-24-2021,20694
83730350,COMPLETED,7,1,04-09-2021,98779
83749080,COMPLETED,6,8,01-31-2021,108307
83749137,COMPLETED,4,12,12-31-2019,104679
83751622,COMPLETED,7,12,11-09-2019,18671
83913641,COMPLETED,7,1,11-09-2019,20889
83913644,COMPLETED,7,1,11-10-2019,98762
83919576,COMPLETED,7,1,11-10-2019,16934
84008433,COMPLETED,6,1,12-05-2019,20021
84313608,COMPLETED,6,1,11-30-2019,442
84313621,COMPLETED,6,1,11-30-2019,936
84313695,COMPLETED,7,1,11-30-2019,2144
84567513,COMPLETED,9,13,07-08-2021,113359
86829803,COMPLETED,8,11,04-01-2021,113936
87831906,COMPLETED,7,3,05-19-2020,1689
88072596,COMPLETED,7,24,02-12-2021,114236
90106260,COMPLETED,7,1,01-14-2020,16694
90106848,COMPLETED,7,2,01-14-2020,13055
90751940,COMPLETED,8,12,04-04-2020,108617
90751947,COMPLETED,10,12,07-27-2020,112641
90994634,COMPLETED,4,12,04-09-2020,110270
92588740,COMPLETED,7,12,03-31-2020,104461
96205256,COMPLETED,7,12,04-07-2020,105228
96528518,COMPLETED,6,1,03-04-2020,21485
96528523,COMPLETED,7,1,03-04-2020,16239
96528532,COMPLETED,8,1,03-04-2020,4155
96528535,COMPLETED,8,1,03-07-2020,12859
96528544,COMPLETED,8,1,03-29-2020,21335
96528549,COMPLETED,7,1,03-04-2020,8740
96528554,COMPLETED,7,1,03-03-2020,15323
96528569,COMPLETED,7,1,03-04-2020,21230
96528583,COMPLETED,8,1,03-03-2020,3848
96528611,COMPLETED,8,1,07-08-2020,20835
96719760,COMPLETED,6,2,03-04-2020,16468
97014666,COMPLETED,7,1,04-09-2020,100723
97123178,COMPLETED,7,1,03-08-2020,5252
97300895,COMPLETED,7,1,03-15-2020,110851
98037290,COMPLETED,7,1,03-16-2020,21831
100455542,COMPLETED,8,13,07-08-2020,115230
100455632,COMPLETED,7,13,09-26-2020,114043
100455680,COMPLETED,7,12,09-25-2020,112803
100456754,COMPLETED,5,11,09-19-2020,114308
100457191,COMPLETED,5,12,01-17-2021,111323
100812235,COMPLETED,7,25,09-25-2021,117193
102547084,COMPLETED,6,1,04-10-2020,9515
105539001,COMPLETED,7,12,10-09-2021,106479
108571221,COMPLETED,6,4,05-11-2020,10020
108571252,COMPLETED,6,3,05-18-2020,18857
108571529,COMPLETED,6,13,05-18-2020,13659
110319481,COMPLETED,5,2,05-30-2020,10209
110320348,COMPLETED,6,1,07-01-2020,16762
111659632,COMPLETED,7,6,05-26-2020,15617
112453967,COMPLETED,6,12,06-16-2020,100093
119988049,COMPLETED,7,13,09-26-2020,112444
121026857,COMPLETED,6,13,08-08-2020,226
123036800,COMPLETED,7,12,09-27-2020,113813
128384828,COMPLETED,8,12,08-20-2020,20574
129002501,COMPLETED,6,3,08-05-2020,21789
129818570,COMPLETED,7,3,08-26-2020,104307
129818591,COMPLETED,7,9,08-26-2020,108581
130596639,COMPLETED,8,12,09-13-2020,101001
133326330,COMPLETED,7,13,04-26-2021,339
133503494,COMPLETED,1,1,08-24-2020,3287
133503617,COMPLETED,6,13,05-02-2021,330
133518866,COMPLETED,1,1,08-23-2020,13405
133520702,COMPLETED,8,1,08-24-2020,99302
133574236,COMPLETED,2,1,08-23-2020,6953
133630258,COMPLETED,8,24,05-26-2022,20946
133896063,COMPLETED,5,1,08-26-2020,10681
136877293,COMPLETED,9,23,10-05-2020,110349
137687815,COMPLETED,4,2,09-17-2020,21790
138173970,COMPLETED,1,12,10-01-2020,110446
138262578,COMPLETED,7,1,09-18-2020,415
138569387,COMPLETED,8,12,02-04-2021,110355
138756003,COMPLETED,1,1,09-21-2020,4531
139038957,COMPLETED,7,13,05-02-2021,124223
139313788,COMPLETED,7,13,01-09-2022,116006
141395300,COMPLETED,8,1,10-03-2020,101343
141395339,COMPLETED,9,1,10-04-2020,101344
141395357,COMPLETED,10,1,10-05-2020,100643
142046998,COMPLETED,7,1,10-06-2020,109190
142061647,COMPLETED,3,1,10-07-2020,14173
142825803,COMPLETED,6,11,,108725
142825812,COMPLETED,7,12,04-01-2021,119661
142825892,COMPLETED,7,13,03-23-2021,117533
142825913,COMPLETED,5,24,08-30-2021,103632
142845782,COMPLETED,5,1,10-18-2020,21295
144530215,COMPLETED,8,1,10-23-2020,9260
144530220,COMPLETED,8,1,10-25-2020,21399
144530228,COMPLETED,8,1,10-25-2020,21400
145878968,COMPLETED,9,13,08-12-2022,125367
145900097,COMPLETED,7,4,10-27-2020,15689
147152685,COMPLETED,7,1,11-01-2020,10029
147773713,COMPLETED,8,1,01-17-2021,104990
147773717,COMPLETED,7,1,01-12-2021,102649
147773725,COMPLETED,7,1,01-17-2021,104382
147774211,COMPLETED,6,1,02-01-2021,113917
149693352,COMPLETED,7,5,01-12-2021,20593
